;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
63.;1909199374;27.10.2014;TENCENT INDUSTRY WIN-WIN FUND;VISION CORE CORPORATION;CN;7371 / 7372;Minority stake unknown %
64.;1907160048;01.06.2016;TENCENT INDUSTRY WIN-WIN FUND;BEIJING QINGSONGCHOU NETWORK TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
65.;1909199292;05.11.2014;TENCENT INDUSTRY WIN-WIN FUND;RONGCHANG INC.;CN;7211 / 7212 / 7216 / 7374;Minority stake unknown %
66.;1943026596;30.03.2018;TENCENT INDUSTRY WIN-WIN FUND;FUJIAN KAIMI NETWORK TECHNOLOGY CO., LTD;CN;7372;Minority stake 20%
67.;1939001015;16.06.2016;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI XIANGXUE NETWORK TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
68.;1907150628;27.03.2015;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI LEMON FILM MEDIA CO., LTD;CN;7812;Minority stake unknown %
69.;1943018187;02.01.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING AISEC IMAGINATION TECHNOLOGY CO., LTD;CN;7372;Minority stake 7.5%
70.;1907234648;04.08.2016;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN QIANHAI LINKLOGIS FINANCIAL SERVICES CO., LTD;CN;7374 / 8742;Minority stake unknown %
71.;1907250758;10.11.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING MAOYAN CULTURE MEDIA CO., LTD;CN;7372;Minority stake unknown %
72.;1907071286;04.11.2014;TENCENT INDUSTRY WIN-WIN FUND;SICHUAN CHUANGWU TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
73.;1907165091;21.07.2016;TENCENT INDUSTRY WIN-WIN FUND;BEIJING XINGHE SHIDAI INFORMATION TECHNOLOGY CO., LTD;CN;7335 / 7371 / 7372;Minority stake unknown %
